0,Group A,Uruguay,2018
1,Group A,Russia,2018
2,Group A,Saudi Arabia,2018
3,Group A,Egypt,2018
4,Group B,Spain,2018
5,Group B,Portugal,2018
6,Group B,IR Iran,2018
7,Group B,Morocco,2018
8,Group C,France,2018
9,Group C,Denmark,2018
10,Group C,Peru,2018
11,Group C,Australia,2018
12,Group D,Croatia,2018
13,Group D,Argentina,2018
14,Group D,Nigeria,2018
15,Group D,Iceland,2018
16,Group E,Brazil,2018
17,Group E,Switzerland,2018
18,Group E,Serbia,2018
19,Group E,Costa Rica,2018
20,Group F,Sweden,2018
21,Group F,Mexico,2018
22,Group F,Korea Republic,2018
23,Group F,Germany,2018
24,Group G,Belgium,2018
25,Group G,England,2018
26,Group G,Tunisia,2018
27,Group G,Panama,2018
28,Group H,Colombia,2018
29,Group H,Japan,2018
30,Group H,Senegal,2018
31,Group H,Poland,2018
32,Group A,Brazil,2014
33,Group A,Mexico,2014
34,Group A,Croatia,2014
35,Group A,Cameroon,2014
36,Group B,Netherlands,2014
37,Group B,Chile,2014
38,Group B,Spain,2014
39,Group B,Australia,2014
40,Group C,Colombia,2014
41,Group C,Greece,2014
42,Group C,Côte d'Ivoire,2014
43,Group C,Japan,2014
44,Group D,Costa Rica,2014
45,Group D,Uruguay,2014
46,Group D,Italy,2014
47,Group D,England,2014
48,Group E,France,2014
49,Group E,Switzerland,2014
50,Group E,Ecuador,2014
51,Group E,Honduras,2014
52,Group F,Argentina,2014
53,Group F,Nigeria,2014
54,Group F,Bosnia and Herzegovina,2014
55,Group F,IR Iran,2014
56,Group G,Germany,2014
57,Group G,USA,2014
58,Group G,Portugal,2014
59,Group G,Ghana,2014
60,Group H,Belgium,2014
61,Group H,Algeria,2014
62,Group H,Russia,2014
63,Group H,Korea Republic,2014
64,Group A,Uruguay,2010
65,Group A,Mexico,2010
66,Group A,South Africa,2010
67,Group A,France,2010
68,Group B,Argentina,2010
69,Group B,Korea Republic,2010
70,Group B,Greece,2010
71,Group B,Nigeria,2010
72,Group C,USA,2010
73,Group C,England,2010
74,Group C,Slovenia,2010
75,Group C,Algeria,2010
76,Group D,Germany,2010
77,Group D,Ghana,2010
78,Group D,Australia,2010
79,Group D,Serbia,2010
80,Group E,Netherlands,2010
81,Group E,Japan,2010
82,Group E,Denmark,2010
83,Group E,Cameroon,2010
84,Group F,Paraguay,2010
85,Group F,Slovakia,2010
86,Group F,New Zealand,2010
87,Group F,Italy,2010
88,Group G,Brazil,2010
89,Group G,Portugal,2010
90,Group G,Côte d'Ivoire,2010
91,Group G,Korea DPR,2010
92,Group H,Spain,2010
93,Group H,Chile,2010
94,Group H,Switzerland,2010
95,Group H,Honduras,2010
96,Group A,Germany,2006
97,Group A,Ecuador,2006
98,Group A,Poland,2006
99,Group A,Costa Rica,2006
100,Group B,England,2006
101,Group B,Sweden,2006
102,Group B,Paraguay,2006
103,Group B,Trinidad and Tobago,2006
104,Group C,Argentina,2006
105,Group C,Netherlands,2006
106,Group C,Côte d'Ivoire,2006
107,Group C,Serbia and Montenegro,2006
108,Group D,Portugal,2006
109,Group D,Mexico,2006
110,Group D,Angola,2006
111,Group D,IR Iran,2006
112,Group E,Italy,2006
113,Group E,Ghana,2006
114,Group E,Czech Republic,2006
115,Group E,USA,2006
116,Group F,Brazil,2006
117,Group F,Australia,2006
118,Group F,Croatia,2006
119,Group F,Japan,2006
120,Group G,Switzerland,2006
121,Group G,France,2006
122,Group G,Korea Republic,2006
123,Group G,Togo,2006
124,Group H,Spain,2006
125,Group H,Ukraine,2006
126,Group H,Saudi Arabia,2006
127,Group H,Tunisia,2006
128,Group A,Denmark,2002
129,Group A,Senegal,2002
130,Group A,Uruguay,2002
131,Group A,France,2002
132,Group B,Spain,2002
133,Group B,57Paraguay,2002
134,Group B,57South Africa,2002
135,Group B,69Slovenia,2002
136,Group C,Brazil,2002
137,Group C,Turkey,2002
138,Group C,Costa Rica,2002
139,Group C,China PR,2002
140,Group D,Korea Republic,2002
141,Group D,57USA,2002
142,Group D,13Portugal,2002
143,Group D,69Poland,2002
144,Group E,Germany,2002
145,Group E,Republic of Ireland,2002
146,Group E,Cameroon,2002
147,Group E,Saudi Arabia,2002
148,Group F,Sweden,2002
149,Group F,England,2002
150,Group F,Argentina,2002
151,Group F,Nigeria,2002
152,Group G,Mexico,2002
153,Group G,Italy,2002
154,Group G,Croatia,2002
155,Group G,Ecuador,2002
156,Group H,Japan,2002
157,Group H,Belgium,2002
158,Group H,Russia,2002
159,Group H,Tunisia,2002
160,Group A,Brazil,1998
161,Group A,Norway,1998
162,Group A,Morocco,1998
163,Group A,Scotland,1998
164,Group B,Italy,1998
165,Group B,Chile,1998
166,Group B,Austria,1998
167,Group B,Cameroon,1998
168,Group C,France,1998
169,Group C,Denmark,1998
170,Group C,South Africa,1998
171,Group C,Saudi Arabia,1998
172,Group D,Nigeria,1998
173,Group D,Paraguay,1998
174,Group D,Spain,1998
175,Group D,Bulgaria,1998
176,Group E,Netherlands,1998
177,Group E,Mexico,1998
178,Group E,Belgium,1998
179,Group E,Korea Republic,1998
180,Group F,Germany,1998
181,Group F,Yugoslavia,1998
182,Group F,IR Iran,1998
183,Group F,USA,1998
184,Group G,Romania,1998
185,Group G,England,1998
186,Group G,Colombia,1998
187,Group G,Tunisia,1998
188,Group H,Argentina,1998
189,Group H,Croatia,1998
190,Group H,Jamaica,1998
191,Group H,Japan,1998
192,Group A,Romania,1994
193,Group A,Switzerland,1994
194,Group A,USA,1994
195,Group A,Colombia,1994
196,Group B,Brazil,1994
197,Group B,Sweden,1994
198,Group B,Russia,1994
199,Group B,Cameroon,1994
200,Group C,Germany,1994
201,Group C,Spain,1994
202,Group C,Korea Republic,1994
203,Group C,Bolivia,1994
204,Group D,Nigeria,1994
205,Group D,Bulgaria,1994
206,Group D,Argentina,1994
207,Group D,Greece,1994
208,Group E,Mexico,1994
209,Group E,Republic of Ireland,1994
210,Group E,Italy,1994
211,Group E,Norway,1994
212,Group F,Netherlands,1994
213,Group F,Saudi Arabia,1994
214,Group F,Belgium,1994
215,Group F,Morocco,1994
216,Group A,Italy,1990
217,Group A,Czechoslovakia,1990
218,Group A,Austria,1990
219,Group A,USA,1990
220,Group B,Cameroon,1990
221,Group B,Romania,1990
222,Group B,Argentina,1990
223,Group B,Soviet Union,1990
224,Group C,Brazil,1990
225,Group C,Costa Rica,1990
226,Group C,Scotland,1990
227,Group C,Sweden,1990
228,Group D,Germany FR,1990
229,Group D,Yugoslavia,1990
230,Group D,Colombia,1990
231,Group D,United Arab Emirates,1990
232,Group E,Spain,1990
233,Group E,Belgium,1990
234,Group E,Uruguay,1990
235,Group E,Korea Republic,1990
236,Group F,England,1990
237,Group F,Republic of Ireland,1990
238,Group F,Netherlands,1990
239,Group F,Egypt,1990
240,Group A,Argentina,1986
241,Group A,Italy,1986
242,Group A,Bulgaria,1986
243,Group A,Korea Republic,1986
244,Group B,Mexico,1986
245,Group B,Paraguay,1986
246,Group B,Belgium,1986
247,Group B,Iraq,1986
248,Group C,Soviet Union,1986
249,Group C,France,1986
250,Group C,Hungary,1986
251,Group C,Canada,1986
252,Group D,Brazil,1986
253,Group D,Spain,1986
254,Group D,Northern Ireland,1986
255,Group D,Algeria,1986
256,Group E,Denmark,1986
257,Group E,Germany FR,1986
258,Group E,Uruguay,1986
259,Group E,Scotland,1986
260,Group F,Morocco,1986
261,Group F,England,1986
262,Group F,Poland,1986
263,Group F,Portugal,1986
264,Group 1,Poland,1982
265,Group 1,Soviet Union,1982
266,Group 1,Belgium,1982
267,Group 2,Germany FR,1982
268,Group 2,England,1982
269,Group 2,Spain,1982
270,Group 3,Italy,1982
271,Group 3,Brazil,1982
272,Group 3,Argentina,1982
273,Group 4,France,1982
274,Group 4,Austria,1982
275,Group 4,Northern Ireland,1982
276,Group A,Netherlands,1978
277,Group A,Italy,1978
278,Group A,Austria,1978
279,Group A,Germany FR,1978
280,Group B,Argentina,1978
281,Group B,Brazil,1978
282,Group B,Poland,1978
283,Group B,Peru,1978
284,Group A,Netherlands,1974
285,Group A,Brazil,1974
286,Group A,Argentina,1974
287,Group A,German DR,1974
288,Group B,Germany FR,1974
289,Group B,Poland,1974
290,Group B,Sweden,1974
291,Group B,Yugoslavia,1974
292,Group 1,Mexico,1970
293,Group 1,Soviet Union,1970
294,Group 1,Belgium,1970
295,Group 1,El Salvador,1970
296,Group 2,Italy,1970
297,Group 2,Uruguay,1970
298,Group 2,Sweden,1970
299,Group 2,Israel,1970
300,Group 3,Brazil,1970
301,Group 3,England,1970
302,Group 3,Romania,1970
303,Group 3,Czechoslovakia,1970
304,Group 4,Germany FR,1970
305,Group 4,Peru,1970
306,Group 4,Bulgaria,1970
307,Group 4,Morocco,1970
308,Group 1,England,1966
309,Group 1,Uruguay,1966
310,Group 1,Mexico,1966
311,Group 1,France,1966
312,Group 2,Germany FR,1966
313,Group 2,Argentina,1966
314,Group 2,Spain,1966
315,Group 2,Switzerland,1966
316,Group 3,Portugal,1966
317,Group 3,Hungary,1966
318,Group 3,Brazil,1966
319,Group 3,Bulgaria,1966
320,Group 4,Soviet Union,1966
321,Group 4,Korea DPR,1966
322,Group 4,Italy,1966
323,Group 4,Chile,1966
324,Group 1,Soviet Union,1962
325,Group 1,Yugoslavia,1962
326,Group 1,Uruguay,1962
327,Group 1,Colombia,1962
328,Group 2,Germany FR,1962
329,Group 2,Chile,1962
330,Group 2,Italy,1962
331,Group 2,Switzerland,1962
332,Group 3,Brazil,1962
333,Group 3,Czechoslovakia,1962
334,Group 3,Spain,1962
335,Group 3,Mexico,1962
336,Group 4,Hungary,1962
337,Group 4,England,1962
338,Group 4,Argentina,1962
339,Group 4,Bulgaria,1962
340,Group 1,Northern Ireland,1958
341,Group 1,Germany FR,1958
342,Group 1,Czechoslovakia,1958
343,Group 1,Argentina,1958
344,Group 2,Yugoslavia,1958
345,Group 2,France,1958
346,Group 2,Paraguay,1958
347,Group 2,Scotland,1958
348,Group 3,Sweden,1958
349,Group 3,Wales,1958
350,Group 3,Hungary,1958
351,Group 3,Mexico,1958
352,Group 4,Brazil,1958
353,Group 4,Soviet Union,1958
354,Group 4,England,1958
355,Group 4,Austria,1958
356,Group 1,Brazil,1954
357,Group 1,Yugoslavia,1954
358,Group 1,France,1954
359,Group 1,Mexico,1954
360,Group 2,Hungary,1954
361,Group 2,Germany FR,1954
362,Group 2,Turkey,1954
363,Group 2,Korea Republic,1954
364,Group 3,Uruguay,1954
365,Group 3,Austria,1954
366,Group 3,Czechoslovakia,1954
367,Group 3,Scotland,1954
368,Group 4,Switzerland,1954
369,Group 4,England,1954
370,Group 4,Italy,1954
371,Group 4,Belgium,1954
372,Group 1,Brazil,1950
373,Group 1,Yugoslavia,1950
374,Group 1,Switzerland,1950
375,Group 1,Mexico,1950
376,Group 2,Spain,1950
377,Group 2,Chile,1950
378,Group 2,England,1950
379,Group 2,USA,1950
380,Group 3,Sweden,1950
381,Group 3,Italy,1950
382,Group 3,Paraguay,1950
383,Group 4,Uruguay,1950
384,Group 4,Bolivia,1950
385,,Belgium,1938
386,,Brazil,1938
387,,Cuba,1938
388,,Czechoslovakia,1938
389,,Dutch East Indies,1938
390,,France,1938
391,,Germany,1938
392,,Hungary,1938
393,,Italy,1938
394,,Netherlands,1938
395,,Norway,1938
396,,Poland,1938
397,,Romania,1938
398,,Sweden,1938
399,,Switzerland,1938
400,,Argentina,1934
401,,Austria,1934
402,,Belgium,1934
403,,Brazil,1934
404,,Czechoslovakia,1934
405,,Egypt,1934
406,,France,1934
407,,Germany,1934
408,,Hungary,1934
409,,Italy,1934
410,,Netherlands,1934
411,,Romania,1934
412,,Spain,1934
413,,Sweden,1934
414,,Switzerland,1934
415,,USA,1934
416,Group 1,Argentina,1930
417,Group 1,Chile,1930
418,Group 1,France,1930
419,Group 1,Mexico,1930
420,Group 2,Yugoslavia,1930
421,Group 2,Brazil,1930
422,Group 2,Bolivia,1930
423,Group 3,Uruguay,1930
424,Group 3,Romania,1930
425,Group 3,Peru,1930
426,Group 4,USA,1930
427,Group 4,Paraguay,1930
428,Group 4,Belgium,1930
